date,tmpc,relh,year
1979-10-12,24.19047619047619,72.48761904761905,1979
1979-10-13,21.90909090909091,74.3509090909091,1979
1979-10-14,23.59090909090909,78.75863636363637,1979
1979-10-15,21.09090909090909,78.06590909090909,1979
1979-10-16,22.90909090909091,74.69318181818181,1979
1979-10-17,24.0,75.36947368421052,1979
1979-10-18,21.681818181818183,86.80454545454546,1979
1979-10-19,19.571428571428573,82.05571428571429,1979
1979-10-20,17.17391304347826,83.73826086956522,1979
1979-10-21,17.208333333333332,79.47666666666667,1979
1979-10-22,18.130434782608695,84.95739130434782,1979
1979-10-23,18.8,88.4445,1979
1979-10-24,19.652173913043477,91.77782608695652,1979
1979-10-25,18.476190476190474,96.06666666666668,1979
1979-10-26,19.391304347826086,86.83739130434783,1979
1979-10-27,19.571428571428573,81.95,1979
1979-10-28,16.772727272727273,85.31181818181818,1979
1979-10-29,14.3,89.0975,1979
1979-10-30,15.5,75.74350000000001,1979
1979-10-31,15.333333333333334,81.9504761904762,1979
1979-11-01,15.944444444444445,82.02388888888889,1979
1979-11-02,16.095238095238095,88.81,1979
1979-11-03,14.5,90.22818181818182,1979
1979-11-04,14.727272727272727,93.14363636363636,1979
1979-11-05,16.25,81.3775,1979
1979-11-06,17.41176470588235,78.76823529411764,1979
1979-11-07,18.05,82.7885,1979
1979-11-08,17.181818181818183,80.99545454545455,1979
1979-11-09,16.1875,85.18125,1979
1979-11-10,16.294117647058822,87.37705882352941,1979
1979-11-11,12.4375,78.240625,1979
1979-11-12,11.789473684210526,88.00263157894737,1979
1979-11-13,12.541666666666666,71.24041666666666,1979
1979-11-14,14.909090909090908,71.44636363636363,1979
1979-11-15,15.65,72.8215,1979
1979-11-16,12.095238095238095,71.60333333333334,1979
1979-11-17,10.15,82.0885,1979
1979-11-18,9.727272727272727,83.21181818181819,1979
1979-11-19,11.142857142857142,85.35285714285715,1979
1979-11-20,12.409090909090908,81.40590909090909,1979
1979-11-21,11.227272727272727,88.27318181818181,1979
1979-11-22,10.956521739130435,92.2386956521739,1979
1979-11-23,11.818181818181818,93.26636363636364,1979
1979-11-24,12.333333333333334,88.66952380952381,1979
1979-11-25,11.863636363636363,87.97545454545455,1979
1979-11-26,11.761904761904763,86.55190476190475,1979
1979-11-27,12.545454545454545,86.71,1979
1979-11-28,12.652173913043478,87.0104347826087,1979
1979-11-29,12.0,90.65777777777777,1979
1979-11-30,11.61111111111111,93.01833333333333,1979
1979-12-01,15.117647058823529,81.03058823529412,1979
1979-12-02,13.727272727272727,89.68136363636364,1979
1979-12-03,13.4,88.4735,1979
1979-12-04,12.208333333333334,90.56208333333332,1979
1979-12-05,11.208333333333334,93.11041666666667,1979
1979-12-06,10.75,89.4035,1979
1979-12-07,9.863636363636363,86.77227272727272,1979
1979-12-08,11.0,89.58227272727272,1979
1979-12-09,12.272727272727273,87.15363636363637,1979
1979-12-10,13.05,86.15299999999999,1979
1979-12-11,14.5,79.78227272727273,1979
